handle,title,featured_alt,media_count,bad_alts
baume-a-levre-roule-taj-safouane,Baume à Lèvre Roulé | Hydrate & répare les lèvres sèches,Baume à Lèvre Roulé | Hydrate & répare les lèvres sèches - JODHUR,4,FEATURED:GENERIC
baume-a-levre-taj-safouane,Baume à Lèvre | Nourrit & protège les lèvres,Baume à Lèvre | Nourrit & protège les lèvres - JODHUR,5,FEATURED:GENERIC
baume-levres-rose-femmes-dades,Baume à Lèvres Rose – Douceur & Protection,Baume à Lèvres Rose – Douceur & Protection - JODHUR,4,FEATURED:GENERIC
blush-cosmetique-artisanal-taj-safouane,Blush Cosmétique Artisanal | Réveille le teint & sublime les joue,Blush Cosmétique Artisanal | Réveille le teint & sublime les joue - JODHUR,4,FEATURED:GENERIC
capsules-moringa-bio-moringina,Capsules Moringa Bio | Énergie & bien-être au quotidien sans effort,Capsules Moringa Bio | Énergie & bien-être au quotidien sans effort- JODHUR,7,FEATURED:GENERIC
coffret-volume-legerete,Coffret Boost Volume | Cheveux Plats Transformés,,4,FEATURED:EMPTY|SECONDARY:4_EMPTY
pack-choc-stimulant-fortifiant,"Coffret SOS Chute de Cheveux | Racines Stimulées, Longueurs Fortifiées",,4,FEATURED:EMPTY|SECONDARY:4_EMPTY
coffret-sos-demangeaisons-pellicules,Coffret SOS Démangeaisons & Pellicules | Cuir Chevelu Apaisé,,4,FEATURED:EMPTY|SECONDARY:4_EMPTY
creme-oliban-otor-sahraouia,Crème à l'Oliban | Lisse les ridules & illumine le teint,Creme Oliban - JODHUR,5,FEATURED:GENERIC
creme-rose-rosa-damaskina,Crème à la Rose – Hydratation & Régénération Quotidienne,Crème à la Rose – Hydratation & Régénération Quotidienne- JODHUR,5,FEATURED:GENERIC
creme-rose-femmes-dades,Crème de Rose – Soin Apaisant & Hydratant,Crème de Rose – Soin Apaisant & Hydratant - JODHUR,5,FEATURED:GENERIC
creme-mains-hydratante-argan-taj-safouane,Crème Mains Hydratante à l'Argan – Nutrition Quotidienne,Crème Mains Hydratante à l'Argan – Nutrition Quotidienne - JODHUR,5,FEATURED:GENERIC
creme-sinamorflor-chauffante-moringina,Crème Sinamorflor | Soulage muscles & articulations par effet chauffant,Crème Sinamorflor | Soulage muscles & articulations par effet chauffant - JODHUR,6,FEATURED:GENERIC
eau-rose-bio-femmes-dades,Eau de Rose BIO – Tonique Universel Vallée des Roses,Eau de Rose BIO – Tonique Universel Vallée des Roses - JODHUR,5,FEATURED:GENERIC
eau-distillee-moringa-moringina,Eau Distillée Moringa | Apaise yeux fatigués & revitalise le visage,Eau Distillée Moringa | Apaise yeux fatigués & revitalise le visage- JODHUR,5,FEATURED:GENERIC
eau-florale-rose-bio-spray-rosa-damaskina,Eau Florale de Rose BIO – Tonique Apaisant Format Spray,Eau Florale de Rose BIO – Tonique Apaisant Format Spray - JODHUR,6,FEATURED:GENERIC
eau-florale-rose-bio-bouteille-rosa-damaskina,Eau Florale de Rose BIO – Tonique Précieux Format Bouteille,Eau Florale de Rose BIO – Tonique Précieux Format Bouteille - JODHUR,4,FEATURED:GENERIC
hydrolat-verveine-rouh-ennabta,Eau Florale de Verveine Bio – Éclat & Pores Resserrés,Hydrolat de verveine - JODHUR,5,FEATURED:GENERIC
feuilles-moringa-sechees-moringina,Feuilles de Moringa Séchées | Vitalité naturelle · 90+ nutriments,Feuilles de Moringa Séchées | Vitalité naturelle · 90+ nutriments- JODHUR,6,FEATURED:GENERIC
gel-douche-huiles-essentielles-relaxant,Gel Douche aux Huiles Essentielles Relaxant,Gel Douche aux Huiles Essentielles Relaxant - JODHUR,6,FEATURED:GENERIC
gel-douche-huiles-essentielles-vitalite,Gel Douche aux Huiles Essentielles Vitalité,Gel Douche aux Huiles Essentielles Vitalité- JODHUR,6,FEATURED:GENERIC
gel-douche-corps-moringa-fruits-rouges-moringina,Gel Douche Corps Moringa Fruits Rouges | Peau douce & revitalisée après chaque douche,"Gel Douche Corps Moringa Fruits Rouges, Peau douce & revitalisée après chaque douche - JODHUR",6,FEATURED:GENERIC
gel-douche-corps-moringa-vanille-moringina,Gel Douche Corps Moringa Vanille | Peau adoucie & parfum enveloppant,"Gel Douche Corps Moringa Vanille, Peau adoucie & parfum enveloppant - JODHUR",7,FEATURED:GENERIC
gommage-figue-barbarie-huile-arbre-the,Gommage Grains de Figue de Barbarie à Huile Essentielle Arbre de Thé,Gommage Grains De Figue De Berbarie - JODHUR,5,FEATURED:GENERIC
gommage-nourrissant-moringa-moringina,Gommage Moringa Corps | Peau douce comme de la soie dès la douche,Gommage Moringa Corps | Peau douce comme de la soie dès la douche - JODHUR,5,FEATURED:GENERIC
